cik,company,sic,form,filing_date,accession,primary_doc
896429,"CANTALOUPE, INC.",3578,8-K,2019-02-06,0001140361-19-002609,form8k.htm
66600,"Quad M Solutions, Inc.",1090,8-K,2019-02-20,0001477932-19-000592,mmmm_8k.htm
916529,AROTECH CORP,3690,8-K,2019-03-06,0000916529-19-000021,form8-kbodynonxrelianceq4p.htm
1646188,Ondas Inc.,3663,8-K,2019-03-19,0001615774-19-004222,s116793_8k.htm
1365916,"AMYRIS, INC.",2860,8-K,2019-04-11,0001171843-19-002369,f8k_041119.htm
1484769,FuboTV Inc.,7812,8-K,2019-04-12,0001493152-19-005224,form8-k.htm
1637459,Kraft Heinz Co,2030,8-K,2019-05-06,0001637459-19-000033,may2019form8-k.htm
1365916,"AMYRIS, INC.",2860,8-K,2019-05-16,0001171843-19-003428,f8k_051619.htm
1725579,"Pluralsight, Inc.",7370,8-K,2019-06-17,0001725579-19-000033,ps06172019-8k.htm
920448,BROADVISION INC,7372,8-K,2019-08-15,0001562762-19-000214,bvsn-20190815x8k.htm
1051514,"STRATA Skin Sciences, Inc.",3841,8-K,2019-08-26,0001051514-19-000069,form_8-k.htm
896429,"CANTALOUPE, INC.",3578,8-K,2019-10-09,0001140361-19-018252,form8k.htm
1498148,Artificial Intelligence Technology Solutions Inc.,7372,8-K,2019-10-16,0001161697-19-000448,form_8-k.htm
1498148,Artificial Intelligence Technology Solutions Inc.,7372,8-K/A,2019-10-25,0001161697-19-000459,form_8-k.htm
1627606,DAVIDsTEA Inc.,5400,8-K,2019-12-18,0001477932-19-007180,dtea_8k.htm
725363,CEL SCI CORP,2836,8-K,2019-12-23,0001654954-19-014163,cvm_8k.htm
1664703,Bloom Energy Corp,3620,8-K,2020-02-12,0001664703-20-000003,bloom_8-kxmsa2x12x20.htm
1173281,"NeuBase Therapeutics, Inc.",2834,8-K,2020-02-13,0001104659-20-020287,tm207930-1_8k.htm
896429,"CANTALOUPE, INC.",3578,8-K,2020-02-18,0001140361-20-003543,form8k.htm
1656472,Cronos Group Inc.,2833,8-K,2020-03-17,0001656472-20-000017,form8ka.htm
1351573,"Pure Harvest Corporate Group, Inc.",2833,8-K,2020-04-23,0001493152-20-006987,form8k.htm
1499832,"Townsquare Media, Inc.",4832,8-K,2020-06-09,0001499832-20-000032,form8kmay22pressrelease.htm
1484769,FuboTV Inc.,7812,8-K,2020-08-11,0001493152-20-015140,form8-k.htm
1045742,LIVE VENTURES Inc,5900,8-K,2020-08-14,0001564590-20-040176,live-8k_20200812.htm
1631282,DATASEA INC.,7372,8-K,2020-09-09,0001213900-20-025870,ea126554-8k_dataseainc.htm
1484769,FuboTV Inc.,7812,8-K,2020-09-15,0001493152-20-017813,form8-k.htm
1626644,"Odyssey Health, Inc.",3841,8-K,2020-10-15,0001683168-20-003444,odyssey_8k.htm
1528930,"Franchise Group, Inc.",6794,8-K,2020-10-26,0001104659-20-118215,tm2033368d5_8k.htm
1054102,"INTERPACE BIOSCIENCES, INC.",3841,8-K,2020-12-08,0001493152-20-023091,form8-k.htm
725363,CEL SCI CORP,2836,8-K,2020-12-29,0001654954-20-013974,cvm-20201231.htm
1093691,PLUG POWER INC,3620,8-K,2021-03-16,0001104659-21-037184,tm219753d1_8k.htm
1810140,Polished.com Inc.,5700,8-K,2021-03-29,0001213900-21-018274,ea138506-8k_1847goedekerinc.htm
1674101,Vertiv Holdings Co,3679,8-K,2021-04-23,0001628280-21-007391,vrt-20210421.htm
1811414,QuantumScape Corp,3690,8-K,2021-04-29,0001193125-21-137760,d307357d8k.htm
1706946,"Virgin Galactic Holdings, Inc",4700,8-K,2021-04-30,0001706946-21-000049,spce-20210426.htm
1731289,Nikola Corp,3711,8-K,2021-05-04,0001731289-21-000050,nkla-20210504.htm
1712189,Target Hospitality Corp.,7000,8-K,2021-05-06,0001712189-21-000012,thform8-k.htm
1682745,VERRA MOBILITY Corp,4700,8-K,2021-05-07,0001193125-21-154945,d46698d8k.htm
1720990,Fisker Inc./DE,3711,8-K,2021-05-07,0001140361-21-016451,nt10024222x3_8k.htm
1742927,"REVIVA PHARMACEUTICALS HOLDINGS, INC.",2834,8-K,2021-05-07,0001437749-21-011374,rvph20210506_8k.htm
1802450,"MSP Recovery, Inc.",7374,8-K,2021-05-10,0001104659-21-063866,tm2115579d1_8k.htm
1759631,Hyliion Holdings Corp.,3713,8-K,2021-05-11,0001213900-21-025482,ea140631-8k_hyliion.htm
1784535,"Porch Group, Inc.",7372,8-K,2021-05-14,0001558370-21-007290,prch-20210513x8k.htm
1721386,Landsea Homes Corp,1531,8-K,2021-05-17,0001731122-21-000848,e2716_8k.htm
1820566,Inspirato Inc,6770,8-K,2021-05-17,0001193125-21-163698,d547984d8k.htm
1805833,"System1, Inc.",7370,8-K,2021-05-18,0001104659-21-068617,tm2114771d1_8k.htm
1819438,"ESS Tech, Inc.",3690,8-K,2021-05-24,0001564590-21-029500,stwou-8k_20210524.htm
1823144,"GPGI, Inc.",6199,8-K,2021-05-25,0001104659-21-071481,tm2117346d1_8k.htm
1760689,"Microvast Holdings, Inc.",3690,8-K,2021-05-28,0001213900-21-030031,ea141849-8k_tuscan.htm
1805833,"System1, Inc.",7370,8-K,2021-06-01,0001104659-21-075120,tm2118110d2_8k.htm
1819395,Sonder Holdings Inc.,7000,8-K,2021-06-04,0001193125-21-183059,d118424d8k.htm
1805833,"System1, Inc.",7370,8-K/A,2021-06-21,0001104659-21-083555,tm2120210d1_8ka.htm
1693690,Veroni Brands Corp.,5140,8-K,2021-08-19,0001493152-21-020659,form8-k.htm
1656472,Cronos Group Inc.,2833,8-K,2021-11-09,0001656472-21-000120,cron-20211109.htm
1823144,"GPGI, Inc.",6199,8-K,2021-11-15,0001104659-21-139345,tm2132968d1_8k.htm
837852,"IDEANOMICS, INC.",3711,8-K,2021-11-16,0001104659-21-139669,tm2133104d1_8k.htm
1805833,"System1, Inc.",7370,8-K,2021-11-17,0001104659-21-140171,tm2130489d3_8k.htm
1849380,OneMedNet Corp,8731,8-K,2021-11-19,0001104659-21-141812,tm2133547d1_8k.htm
1819438,"ESS Tech, Inc.",3690,8-K,2021-11-22,0001193125-21-337023,d263214d8k.htm
1820566,Inspirato Inc,6770,8-K,2021-11-22,0001193125-21-336846,d241623d8k.htm
837852,"IDEANOMICS, INC.",3711,8-K/A,2021-11-22,0001104659-21-142567,tm2133674d1_8k.htm
1802450,"MSP Recovery, Inc.",7374,8-K,2021-11-30,0001104659-21-145044,tm2134270d1_8k.htm
1760689,"Microvast Holdings, Inc.",3690,8-K,2021-12-10,0001213900-21-064757,ea151833-8k_microvast.htm
720154,"Inotiv, Inc.",8731,8-K,2021-12-16,0001558370-21-016882,notv-20211215x8k.htm
1827392,Authentic Equity Acquisition Corp.,6770,8-K,2021-12-28,0001213900-21-067756,ea153115-8k_authenticeq.htm
1304492,Anterix Inc.,4813,8-K,2022-02-03,0001304492-22-000005,atex-20220201x8k.htm
1770236,MOVING iMAGE TECHNOLOGIES INC.,3861,8-K,2022-02-22,0001104659-22-025739,tm225225d3_8k.htm
1770236,MOVING iMAGE TECHNOLOGIES INC.,3861,8-K/A,2022-02-28,0001104659-22-028148,tm227904d1_8ka.htm
1091883,CIRCOR INTERNATIONAL INC,3490,8-K,2022-03-14,0001091883-22-000012,cir-20220313.htm
1820721,"Array Technologies, Inc.",3674,8-K,2022-03-29,0001820721-22-000023,arry-20220323.htm
1802450,"MSP Recovery, Inc.",7374,8-K,2022-04-06,0001104659-22-043202,tm2211521d1_8k.htm
1759509,"Lyft, Inc.",7389,8-K,2022-04-29,0001759509-22-000030,lyft-20220428.htm
814586,"Lifeway Foods, Inc.",2020,8-K,2022-05-05,0001683168-22-003233,lifeway_8k.htm
1372514,KIORA PHARMACEUTICALS INC,2834,8-K,2022-05-23,0001104659-22-063871,tm2216631d1_8k.htm
1553404,Pacific Green Technologies Inc.,4955,8-K,2022-07-11,0001213900-22-038605,ea162707-8k_pacificgreen.htm
771999,"DSS, INC.",2650,8-K,2022-08-12,0001493152-22-022398,form8-k.htm
818479,DENTSPLY SIRONA Inc.,3843,8-K,2022-11-01,0001140361-22-039283,brhc10043485_8k.htm
1528930,"Franchise Group, Inc.",6794,8-K,2022-11-03,0001171843-22-007084,f8k_110322.htm
1820721,"Array Technologies, Inc.",3674,8-K,2022-11-08,0001820721-22-000143,arry-20221108.htm
1820566,Inspirato Inc,6770,8-K,2022-11-14,0001104659-22-117405,tm2230284d2_8k.htm
1606698,"ALPINE 4 HOLDINGS, INC.",3669,8-K,2022-11-18,0001628280-22-030385,alpp-20221114.htm
1810140,Polished.com Inc.,5700,8-K,2022-12-27,0001213900-22-082892,ea170694-8k_polished.htm
1528849,RH,5712,8-K,2023-02-03,0001558370-23-000847,rh-20230201x8k.htm
1286139,"LEGALZOOM.COM, INC.",7374,8-K,2023-02-17,0001286139-23-000005,lz-20230216.htm
1286139,"LEGALZOOM.COM, INC.",7374,8-K/A,2023-02-27,0001286139-23-000019,lz-20230216.htm
1820721,"Array Technologies, Inc.",3674,8-K,2023-03-02,0001820721-23-000023,arry-20230301.htm
1784535,"Porch Group, Inc.",7372,8-K,2023-03-14,0001558370-23-003732,prch-20230314x8k.htm
1008654,TUPPERWARE BRANDS CORP,3089,8-K,2023-03-16,0001008654-23-000022,tup-20230312.htm
1805833,"System1, Inc.",7370,8-K,2023-03-17,0001805833-23-000022,sst-20230315.htm
1210708,"Star Equity Holdings, Inc.",7363,8-K,2023-03-30,0001210708-23-000032,hson-20230330.htm
1802450,"MSP Recovery, Inc.",7374,8-K,2023-04-14,0000950170-23-012923,mspr-20230414.htm
1703056,ADT Inc.,7381,8-K,2023-07-10,0001703056-23-000140,adt-20230703.htm
1810140,Polished.com Inc.,5700,8-K,2023-07-31,0001213900-23-061363,ea182620-8k_polished.htm
1083446,"Astrana Health, Inc.",8742,8-K,2023-08-07,0001104659-23-088394,tm2323017d1_8k.htm
1948455,Ispire Technology Inc.,2111,8-K,2023-09-15,0001213900-23-077092,ea185327-8k_ispiretech.htm
1948455,Ispire Technology Inc.,2111,8-K/A,2023-09-19,0001213900-23-077429,ea185363-8ka1_ispiretech.htm
1009759,"Capstone Energy Plus, Inc.",3510,8-K,2023-09-22,0001558370-23-015948,cgrn-20230919x8k.htm
1552800,"TILE SHOP HOLDINGS, INC.",5700,8-K,2023-11-03,0001104659-23-114301,tm2329822-1_8k.htm
1743745,"Greenlane Holdings, Inc.",5099,8-K,2023-11-15,0001743745-23-000072,gnln-20231110.htm
1849380,OneMedNet Corp,8731,8-K,2023-12-18,0001493152-23-045112,form8-k.htm
1040130,PETMED EXPRESS INC,5912,8-K,2024-02-08,0001040130-24-000004,pets-20240207.htm
1875444,"Arhaus, Inc.",5712,8-K,2024-03-06,0001875444-24-000013,arhs-20240229.htm
1819395,Sonder Holdings Inc.,7000,8-K,2024-03-15,0001819395-24-000015,son-20240314.htm
1410428,"XWELL, Inc.",7200,8-K,2024-04-12,0001104659-24-046836,tm2411774d1_8k.htm
1742927,"REVIVA PHARMACEUTICALS HOLDINGS, INC.",2834,8-K,2024-04-15,0001437749-24-011948,rvph20240411_8k.htm
1875444,"Arhaus, Inc.",5712,8-K,2024-04-29,0001875444-24-000057,arhs-20240426.htm
1335112,"LOGIQ, INC.",7389,8-K,2024-05-01,0001575872-24-000460,lgiq-20240206.htm
709283,QUANTUM CORP /DE/,3572,8-K,2024-05-29,0001193125-24-149195,d836470d8k.htm
1849380,OneMedNet Corp,8731,8-K,2024-06-04,0001493152-24-022544,form8-k.htm
1449792,"PIONEER POWER SOLUTIONS, INC.",3690,8-K,2024-06-06,0001493152-24-022972,form8-k.htm
1553404,Pacific Green Technologies Inc.,4955,8-K,2024-07-08,0001213900-24-059681,ea0209071-8k_pacific.htm
1865506,Zeo Energy Corp.,1700,8-K,2024-08-02,0001213900-24-064742,ea0210518-8k_zeoenergy.htm
1956955,"Unusual Machines, Inc.",3663,8-K,2024-08-07,0001683168-24-005344,umac_8k.htm
1676163,"SS Innovations International, Inc.",3841,8-K,2024-08-14,0001213900-24-068635,ea0211280-8k_ssinnov.htm
